iter	Logloss
0	0.5868892321
1	0.5238325129
2	0.4666089423
3	0.410548612
4	0.3554294758
5	0.3381491201
6	0.3066009767
7	0.2694524557
8	0.2482548868
9	0.2361121434
10	0.215594354
11	0.2022465827
12	0.1885950528
13	0.1731878243
14	0.1664677066
15	0.1557888349
16	0.1418776699
17	0.1298402013
18	0.1211450179
19	0.1159554886
20	0.1083674365
21	0.1040989465
22	0.09777549831
23	0.09331440275
24	0.09057079545
25	0.0857884053
26	0.08043043527
27	0.07877154515
28	0.07626508521
29	0.07255764877
30	0.06850758202
31	0.06483247424
32	0.06148647415
33	0.05965793366
34	0.05820640032
35	0.05592991625
36	0.05439004662
37	0.05191567664
38	0.05007124324
39	0.04792773608
40	0.04594266419
41	0.04531876504
42	0.04351990785
43	0.0418455391
44	0.04028390864
45	0.03918867721
46	0.03779843317
47	0.03649537232
48	0.03527196974
49	0.03412150928
50	0.033037981
51	0.03201599352
52	0.03105069869
53	0.0301377268
54	0.02927313063
55	0.02845333696
56	0.02801246757
57	0.02725616314
58	0.0265369469
59	0.02585227014
60	0.02519980534
61	0.02457742318
62	0.02398317248
63	0.0234152623
64	0.02287204626
65	0.02235200854
66	0.02185375146
67	0.0213759845
68	0.02103354125
69	0.02058851828
70	0.02016093779
71	0.01974982887
72	0.01935428952
73	0.01897348083
74	0.01860662166
75	0.0182529838
76	0.01791188769
77	0.01758269849
78	0.0172648225
79	0.01695770398
80	0.01666082219
81	0.01637368874
82	0.01609584515
83	0.01582686064
84	0.01556633008
85	0.0153138722
86	0.01506912782
87	0.01483175834
88	0.01460144429
89	0.01437788403
90	0.01416079255
91	0.01394990033
92	0.01374495233
93	0.01354570709
94	0.01335193575
95	0.01316342136
96	0.01297995806
97	0.0128013504
98	0.01262741271
99	0.01245796852
100	0.01229284997
101	0.01213189732
102	0.01197495846
103	0.01182188848
104	0.01167254924
105	0.01152680901
106	0.01138454206
107	0.01124562838
108	0.01110995332
109	0.01097740733
110	0.01084788567
111	0.01072128813
112	0.01059751884
113	0.01047648598
114	0.01035810163
115	0.01024228153
116	0.01012894491
117	0.01001801429
118	0.009909415351
119	0.009803076758
120	0.00969893001
121	0.009596909308
122	0.009496951428
123	0.009398995588
124	0.009302983343
125	0.009208858469
126	0.009116566858
127	0.009026056426
128	0.008937277018
129	0.008850180317
130	0.008764719766
131	0.008680850489
132	0.008598529212
133	0.008517714199
134	0.008438365182
135	0.008360443295
136	0.00828391102
137	0.008208732125
138	0.008134871613
139	0.008062295666
140	0.007990971601
141	0.007920867821
142	0.00785195377
143	0.007784199894
144	0.007717577595
145	0.0076520592
146	0.007587617919
147	0.007524227811
148	0.007461863753
149	0.007400501409
150	0.007340117196
151	0.007280688257
152	0.007222192435
153	0.007164608245
154	0.00710791485
155	0.007052092036
156	0.006997120189
157	0.006942980275
158	0.006889653816
159	0.006837122872
160	0.006785370021
161	0.006734378342
162	0.006684131395
163	0.006634613205
164	0.006585808247
165	0.006537701428
166	0.006490278075
167	0.00644352392
168	0.006397425083
169	0.006351968063
170	0.006307139723
171	0.00626292728
172	0.006219318291
173	0.006176300643
174	0.006133862541
175	0.0060919925
176	0.006050679333
177	0.006009912142
178	0.005969680309
179	0.005929973488
180	0.005890781593
181	0.005852094795
182	0.00581390351
183	0.005776198393
184	0.00573897033
185	0.005702210432
186	0.005665910028
187	0.005630060657
188	0.005594654063
189	0.005559682187
190	0.005525137166
191	0.005491011322
192	0.005457297157
193	0.005423987352
194	0.005391074757
195	0.00535855239
196	0.005326413429
197	0.005294651208
198	0.005263259215
199	0.005232231086
